currency,net_type,address,secondary_address,response_msg
POKT,POKT,pokt12fs4wderqf7s4svsaftcuk4q2dugvzqsrtaz34,1008712663,Success
POL,POL,0xb8c799e4b286973913a17a4efd8753a3b07e7b88,,Success
POLA,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
POLYX,POLYX,2GQDo9agDd2pjxtje2sABjnBawCX3rATTHG9YPNsNwZ92mfN,1008712663,Success
PONKE,SOL,BVycw5iD6vF2gAkH2bb2tPAU5v9xswxWjh45n34nhwqX,,Success
POPCAT,SOL,BVycw5iD6vF2gAkH2bb2tPAU5v9xswxWjh45n34nhwqX,,Success
POWR,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
PROMPT,Unknown,,,No valid network found
PROVE,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
PUFFER,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
PUMP,SOL,BVycw5iD6vF2gAkH2bb2tPAU5v9xswxWjh45n34nhwqX,,Success
PUMPBTC,Unknown,,,No valid network found
PUNDIX,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
PYR,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
PYTH,SOL,BVycw5iD6vF2gAkH2bb2tPAU5v9xswxWjh45n34nhwqX,,Success
QKC,QKC,0x4042ab1b6b479bb8c12233c58a8b58813957fd9c00004033,,Success
QTUM,QTUM,QNWF7jhGw5BZ2dtenRzRfYv2Uz5SThGQZE,,Success
RAD,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
RAY,SOL,BVycw5iD6vF2gAkH2bb2tPAU5v9xswxWjh45n34nhwqX,,Success
RECALL,Unknown,,,No valid network found
RED,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
REI,REI,0x1cec534c583d891885faf950920b98cea715111a,,Success
RENDER,SOL,BVycw5iD6vF2gAkH2bb2tPAU5v9xswxWjh45n34nhwqX,,Success
RENDER,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
REQ,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
RESOLV,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
REZ,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
RLC,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
ROA,SOL,BVycw5iD6vF2gAkH2bb2tPAU5v9xswxWjh45n34nhwqX,,Success
RON,RON,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
RPL,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
RSR,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
RSS3,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
RVN,RVN,RV8KnzXf7RYY4M76SYGePZHcFYEAPNZL96,,Success
S,S,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
SAFE,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
SAHARA,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
SAND,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
SAPIEN,Unknown,,,No valid network found
SC,SC,3b0e341328df9b5c20d700cf93196f119398dde4eeaf9af343427d1f847083f45ac20681718e,,Success
SCR,Unknown,,,No valid network found
SD,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
SEI,SEI,sei13en8pndjw9d22ekkp4zf5p9ty88rlzvvq70t75,1008712663,Success
SFP,Unknown,,,No valid network found
SHELL,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
SHIB,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
SIGN,Unknown,,,No valid network found
SIX,Unknown,,,No valid network found
SKL,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
SKR,SOL,BVycw5iD6vF2gAkH2bb2tPAU5v9xswxWjh45n34nhwqX,,Success
SKY,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
SNT,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
SNX,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
SOL,SOL,BVycw5iD6vF2gAkH2bb2tPAU5v9xswxWjh45n34nhwqX,,Success
SOLV,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
SOMI,SOMI,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
SONIC,SOL,BVycw5iD6vF2gAkH2bb2tPAU5v9xswxWjh45n34nhwqX,,Success
SOON,SOL,BVycw5iD6vF2gAkH2bb2tPAU5v9xswxWjh45n34nhwqX,,Success
SOPH,SOPH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
SPK,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
SPURS,Unknown,,,No valid network found
STABLE,Unknown,,,No valid network found
STAT,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
STEEM,STEEM,bithumbrecv1,1008712663,Success
STG,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
STORJ,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
STRAX,STRAX,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
