currency,net_type,address,secondary_address,response_msg
DRIFT,SOL,BVycw5iD6vF2gAkH2bb2tPAU5v9xswxWjh45n34nhwqX,,Success
DYDX,DYDX,dydx1gj0m8dtsprfsqeh5p9zd5qzx3j0l5ck9l0nf3l,1008712663,Success
DYDX,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
EDEN,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
EDU,Unknown,,,No valid network found
EGG,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
EGLD,EGLD,erd143362utm6dex4dcj2n3rrp9pdlzedl09tc8v2x24xaqwtjqhwvfq7evcv5,,Success
EIGEN,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
EL,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
ELF,ELF,2BoZKb7H86RQht79CmFPF8W5t66mkrMPQ4NdLA7xqRcetgK3bG,,Success
ELIZAOS,SOL,BVycw5iD6vF2gAkH2bb2tPAU5v9xswxWjh45n34nhwqX,,Success
ENA,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
ENJ,ENJ,enBF84rckjiaZ2kxhUvGgH2jZieekDwMNYGLSNwzywS8iLPPm,,Success
ENS,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
ENSO,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
EPT,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
ERA,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
ES,ES,BVycw5iD6vF2gAkH2bb2tPAU5v9xswxWjh45n34nhwqX,,Success
ES,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
ETC,ETC,0x2ad162cd84583124514d90c5777e07a7a77ffb5c,,Success
ETH,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
ETHFI,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
EUL,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
F,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
FANC,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
FCT2,FCT2,firma12d9em753wk5w6x39lxr4cyqf77nc0ff8jly5wp,1008712663,Success
FET,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
FF,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
FIDA,SOL,BVycw5iD6vF2gAkH2bb2tPAU5v9xswxWjh45n34nhwqX,,Success
FIL,FIL,f1wtrq5cau5fbyvxdyx6scbdp2o676krpslfcuvga,,Success
FITFI,AVAX,0xf826838a58343c518456fb85c177b8b731715497,,Success
FLOCK,Unknown,,,No valid network found
FLOKI,Unknown,,,No valid network found
FLOW,FLOW,0x19f84d72ad81162b,,Success
FLR,FLR,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
FLUID,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
FLUX,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
FORT,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
FXS,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
G,G,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
G,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
GALA,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
GAME2,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
GAS,Unknown,,,No valid network found
GHX,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
GLM,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
GMT,Unknown,,,No valid network found
GMX,Unknown,,,No valid network found
GNO,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
GOAT,SOL,BVycw5iD6vF2gAkH2bb2tPAU5v9xswxWjh45n34nhwqX,,Success
GRACY,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
GRASS,SOL,BVycw5iD6vF2gAkH2bb2tPAU5v9xswxWjh45n34nhwqX,,Success
GRND,Unknown,,,No valid network found
GRT,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
GTC,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
H,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
HAEDAL,Unknown,,,No valid network found
HBAR,HBAR,0.0.3818172,1008712663,Success
HEMI,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
HFT,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
HIGH,Unknown,,,No valid network found
HIVE,HIVE,bithumbrecv2,1008712663,Success
HOLO,SOL,BVycw5iD6vF2gAkH2bb2tPAU5v9xswxWjh45n34nhwqX,,Success
HOME,Unknown,,,No valid network found
HOOK,Unknown,,,No valid network found
HP,HP,hippo10rcy7lc0rew47ex58e7na6843vfqe049ky5gu6,1008712663,Success
HP,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
HUMA,SOL,BVycw5iD6vF2gAkH2bb2tPAU5v9xswxWjh45n34nhwqX,,Success
