coin,network,address,tag,url,full_response
IDEX,BSC,0x414349c13c165454decec1a8c901c41d62fe66c0,,https://bscscan.com/address/0x414349c13c165454decec1a8c901c41d62fe66c0,"{'coin': 'IDEX', 'address': '0x414349c13c165454decec1a8c901c41d62fe66c0', 'tag': '', 'url': 'https://bscscan.com/address/0x414349c13c165454decec1a8c901c41d62fe66c0', 'isDefault': 0}"
IDEX,ETH,0x414349c13c165454decec1a8c901c41d62fe66c0,,https://etherscan.io/address/0x414349c13c165454decec1a8c901c41d62fe66c0,"{'coin': 'IDEX', 'address': '0x414349c13c165454decec1a8c901c41d62fe66c0', 'tag': '', 'url': 'https://etherscan.io/address/0x414349c13c165454decec1a8c901c41d62fe66c0', 'isDefault': 0}"
DEXE,BSC,0x414349c13c165454decec1a8c901c41d62fe66c0,,https://bscscan.com/address/0x414349c13c165454decec1a8c901c41d62fe66c0,"{'coin': 'DEXE', 'address': '0x414349c13c165454decec1a8c901c41d62fe66c0', 'tag': '', 'url': 'https://bscscan.com/address/0x414349c13c165454decec1a8c901c41d62fe66c0', 'isDefault': 0}"
DEXE,ETH,0x414349c13c165454decec1a8c901c41d62fe66c0,,https://etherscan.io/address/0x414349c13c165454decec1a8c901c41d62fe66c0,"{'coin': 'DEXE', 'address': '0x414349c13c165454decec1a8c901c41d62fe66c0', 'tag': '', 'url': 'https://etherscan.io/address/0x414349c13c165454decec1a8c901c41d62fe66c0', 'isDefault': 0}"
LISTA,BSC,0x414349c13c165454decec1a8c901c41d62fe66c0,,https://bscscan.com/address/0x414349c13c165454decec1a8c901c41d62fe66c0,"{'coin': 'LISTA', 'address': '0x414349c13c165454decec1a8c901c41d62fe66c0', 'tag': '', 'url': 'https://bscscan.com/address/0x414349c13c165454decec1a8c901c41d62fe66c0', 'isDefault': 0}"
AVAX,BSC,0x414349c13c165454decec1a8c901c41d62fe66c0,,https://bscscan.com/address/0x414349c13c165454decec1a8c901c41d62fe66c0,"{'coin': 'AVAX', 'address': '0x414349c13c165454decec1a8c901c41d62fe66c0', 'tag': '', 'url': 'https://bscscan.com/address/0x414349c13c165454decec1a8c901c41d62fe66c0', 'isDefault': 0}"
AVAX,AVAX,X-avax16vpce7upxjlycc48eya35dd46rfycz5gfva8sh,,https://avascan.info/blockchain/x/address/X-avax16vpce7upxjlycc48eya35dd46rfycz5gfva8sh,"{'coin': 'AVAX', 'address': 'X-avax16vpce7upxjlycc48eya35dd46rfycz5gfva8sh', 'tag': '', 'url': 'https://avascan.info/blockchain/x/address/X-avax16vpce7upxjlycc48eya35dd46rfycz5gfva8sh', 'isDefault': 0}"
AVAX,AVAXC,0x414349c13c165454decec1a8c901c41d62fe66c0,,https://snowtrace.io/address/0x414349c13c165454decec1a8c901c41d62fe66c0,"{'coin': 'AVAX', 'address': '0x414349c13c165454decec1a8c901c41d62fe66c0', 'tag': '', 'url': 'https://snowtrace.io/address/0x414349c13c165454decec1a8c901c41d62fe66c0', 'isDefault': 0}"
BANANA,ETH,0x414349c13c165454decec1a8c901c41d62fe66c0,,https://etherscan.io/address/0x414349c13c165454decec1a8c901c41d62fe66c0,"{'coin': 'BANANA', 'address': '0x414349c13c165454decec1a8c901c41d62fe66c0', 'tag': '', 'url': 'https://etherscan.io/address/0x414349c13c165454decec1a8c901c41d62fe66c0', 'isDefault': 0}"
NEIRO,ETH,0x414349c13c165454decec1a8c901c41d62fe66c0,,https://etherscan.io/address/0x414349c13c165454decec1a8c901c41d62fe66c0,"{'coin': 'NEIRO', 'address': '0x414349c13c165454decec1a8c901c41d62fe66c0', 'tag': '', 'url': 'https://etherscan.io/address/0x414349c13c165454decec1a8c901c41d62fe66c0', 'isDefault': 0}"
LPT,ARBITRUM,0x414349c13c165454decec1a8c901c41d62fe66c0,,https://arbiscan.io/address/0x414349c13c165454decec1a8c901c41d62fe66c0,"{'coin': 'LPT', 'address': '0x414349c13c165454decec1a8c901c41d62fe66c0', 'tag': '', 'url': 'https://arbiscan.io/address/0x414349c13c165454decec1a8c901c41d62fe66c0', 'isDefault': 0}"
LPT,ETH,0x414349c13c165454decec1a8c901c41d62fe66c0,,https://etherscan.io/address/0x414349c13c165454decec1a8c901c41d62fe66c0,"{'coin': 'LPT', 'address': '0x414349c13c165454decec1a8c901c41d62fe66c0', 'tag': '', 'url': 'https://etherscan.io/address/0x414349c13c165454decec1a8c901c41d62fe66c0', 'isDefault': 0}"
HIVE,HIVE,bdhivesteem,104412080,https://hivexplorer.com/@bdhivesteem,"{'coin': 'HIVE', 'address': 'bdhivesteem', 'tag': '104412080', 'url': 'https://hivexplorer.com/@bdhivesteem', 'isDefault': 0}"
KAITO,BASE,0x414349c13c165454decec1a8c901c41d62fe66c0,,https://basescan.org/address/0x414349c13c165454decec1a8c901c41d62fe66c0,"{'coin': 'KAITO', 'address': '0x414349c13c165454decec1a8c901c41d62fe66c0', 'tag': '', 'url': 'https://basescan.org/address/0x414349c13c165454decec1a8c901c41d62fe66c0', 'isDefault': 0}"
RDNT,BSC,0x414349c13c165454decec1a8c901c41d62fe66c0,,https://bscscan.com/address/0x414349c13c165454decec1a8c901c41d62fe66c0,"{'coin': 'RDNT', 'address': '0x414349c13c165454decec1a8c901c41d62fe66c0', 'tag': '', 'url': 'https://bscscan.com/address/0x414349c13c165454decec1a8c901c41d62fe66c0', 'isDefault': 0}"
RDNT,ARBITRUM,0x414349c13c165454decec1a8c901c41d62fe66c0,,https://arbiscan.io/address/0x414349c13c165454decec1a8c901c41d62fe66c0,"{'coin': 'RDNT', 'address': '0x414349c13c165454decec1a8c901c41d62fe66c0', 'tag': '', 'url': 'https://arbiscan.io/address/0x414349c13c165454decec1a8c901c41d62fe66c0', 'isDefault': 0}"
RDNT,BASE,0x414349c13c165454decec1a8c901c41d62fe66c0,,https://basescan.org/address/0x414349c13c165454decec1a8c901c41d62fe66c0,"{'coin': 'RDNT', 'address': '0x414349c13c165454decec1a8c901c41d62fe66c0', 'tag': '', 'url': 'https://basescan.org/address/0x414349c13c165454decec1a8c901c41d62fe66c0', 'isDefault': 0}"
RDNT,ETH,0x414349c13c165454decec1a8c901c41d62fe66c0,,https://etherscan.io/address/0x414349c13c165454decec1a8c901c41d62fe66c0,"{'coin': 'RDNT', 'address': '0x414349c13c165454decec1a8c901c41d62fe66c0', 'tag': '', 'url': 'https://etherscan.io/address/0x414349c13c165454decec1a8c901c41d62fe66c0', 'isDefault': 0}"
PYR,ETH,0x414349c13c165454decec1a8c901c41d62fe66c0,,https://etherscan.io/address/0x414349c13c165454decec1a8c901c41d62fe66c0,"{'coin': 'PYR', 'address': '0x414349c13c165454decec1a8c901c41d62fe66c0', 'tag': '', 'url': 'https://etherscan.io/address/0x414349c13c165454decec1a8c901c41d62fe66c0', 'isDefault': 0}"
PYR,MATIC,0x414349c13c165454decec1a8c901c41d62fe66c0,,https://polygonscan.com/address/0x414349c13c165454decec1a8c901c41d62fe66c0,"{'coin': 'PYR', 'address': '0x414349c13c165454decec1a8c901c41d62fe66c0', 'tag': '', 'url': 'https://polygonscan.com/address/0x414349c13c165454decec1a8c901c41d62fe66c0', 'isDefault': 0}"
DAI,BSC,0x414349c13c165454decec1a8c901c41d62fe66c0,,https://bscscan.com/address/0x414349c13c165454decec1a8c901c41d62fe66c0,"{'coin': 'DAI', 'address': '0x414349c13c165454decec1a8c901c41d62fe66c0', 'tag': '', 'url': 'https://bscscan.com/address/0x414349c13c165454decec1a8c901c41d62fe66c0', 'isDefault': 0}"
