currency,net_type,deposit_address,secondary_address
MTL,METAL,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
MVL,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
NCT,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
NEAR,NEAR,56afd1b65a0e82bf3fcbc546ab3a60936b06df296bdbb6bb4e049ffb0074391a,
NEO,NEO,NWm29ky5PJt3hmQZpMadUNXSJJ9CeZvyyr,
NEWT,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
NKN,NKN,NKNRckDsanCASWWyFkWgGf6SZQ3F7iPMeYF1,
NMR,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
NOM,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
NXPC,AVAX,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
OBSR,KAIA,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
OCEAN,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
OGN,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
OM,OM,mantra19fz2vex6vlfqd5unk92e67ll5yxepdrj933wtn,6111cf0c87b5e5e8
ONDO,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
ONG,ONT,ANLTkRyDdvG69E7FRF8YoBgAMzTqAuo5aE,
ONT,ONT,ANLTkRyDdvG69E7FRF8YoBgAMzTqAuo5aE,
OP,OPTIMISM,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
OPEN,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
ORBS,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
ORCA,SOL,5zmEf12B2U8M7GvG8ig8ZETBdBjQLKh8ReLZbVAoMbA1,
ORDER,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
OXT,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
PENDLE,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
PENGU,SOL,5zmEf12B2U8M7GvG8ig8ZETBdBjQLKh8ReLZbVAoMbA1,
PEPE,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
PLUME,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
POKT,POKT,pokt1gpl0kt6z7n96x9tryadqjvtujm24wwdr08djw3,0392fcbc964cc66f
POL,POL,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
POL,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
POLYX,POLYX,2FQS1orNg1YiCc5ZctWyRGhFnXjJ41bYu2jv7Bexu7Zwe4C7,6eea4769e1ba4c819ffd790d52fe85d9
POWR,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
PROM,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
PROVE,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
PSG,CHZ,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
PUFFER,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
PUMP,SOL,5zmEf12B2U8M7GvG8ig8ZETBdBjQLKh8ReLZbVAoMbA1,
PUNDIX,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
PYTH,SOL,5zmEf12B2U8M7GvG8ig8ZETBdBjQLKh8ReLZbVAoMbA1,
QKC,QKC,0x3b03c8d628947469caff501f31607014568bf8d900000000,
QTUM,QTUM,QUMB1DkbzCcwh8tcmcpYbG2ca1LrGgVpAm,
RAD,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
RAY,SOL,5zmEf12B2U8M7GvG8ig8ZETBdBjQLKh8ReLZbVAoMbA1,
RED,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
REI,REI,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
RENDER,SOL,5zmEf12B2U8M7GvG8ig8ZETBdBjQLKh8ReLZbVAoMbA1,
RESOLV,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
RLC,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
RSR,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
RVN,RVN,RY4JW3jcUa5DxZgBMGZDRCKAHNEUdkbyV8,
SAFE,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
SAHARA,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
SAND,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
SC,SC,2e026912e1825f89f295408a3b710600e7e1c4249c29e14f5de09a8dae51043cd55a18a403ab,
SCR,SCROLLNET,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
SEI,SEI,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
SENT,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
SHELL,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
SHIB,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
SIGN,BASENET,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
SKY,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
SNT,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
SNX,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
SOL,SOL,5zmEf12B2U8M7GvG8ig8ZETBdBjQLKh8ReLZbVAoMbA1,
SOMI,SOMI,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
SONIC,SOL,5zmEf12B2U8M7GvG8ig8ZETBdBjQLKh8ReLZbVAoMbA1,
SOON,SOL,5zmEf12B2U8M7GvG8ig8ZETBdBjQLKh8ReLZbVAoMbA1,
SOPH,SOPH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
SPK,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
SPURS,CHZ,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
STEEM,STEEM,upbitsusers,3bb9ddee-9ab1-4d0f-b491-5666a0e4887c
STG,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
STORJ,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
STRAX,STRAX,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
STX,STX,SP2HRNQJRE8AG9TM6R659R4KST6V00MF52X1PHN0Y,5435ef70b2
SUI,SUI,0x0c1ae9196dd63019c73ef9e23b0f0bd6a34468a5e41c6ca26403414583c995af,
SUN,TRX,TFx22vUvrDsrJBMmsPpba25ktMnwsEHGYr,
SUPER,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
SWELL,SWELLNET,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
SYRUP,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
T,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
TAIKO,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
TAIKO,TAIKONET,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
TFUEL,THETA,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
THETA,THETA,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
